Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
209,Super Splendor New,Local,STD,13,30,92.5,Twister,STD,Caliber,Local,STD,10
210,Super Splendor New,Local,1,13,30,92.5,Twister,1,Caliber,Local,1,10
211,Super Splendor New,Local,2,13,30,92.5,Twister,2,Caliber,Local,2,10
212,Super Splendor New,Local,3,13,30,92.5,Twister,3,Caliber,Local,3,10
213,Super Splendor New,Local,4,13,30,92.5,Twister,4,Caliber,Local,4,10
214,Super Splendor New,Local,5,13,30,92.5,Twister,5,Caliber,Local,5,10
215,Super Splendor New,Local,6,13,30,92.5,Twister,6,Caliber,Local,6,10
216,Super Splendor New,Local,7,13,30,92.5,Twister,7,Caliber,Local,7,10
217,Super Splendor New,STD,STD,13,30,92.5,Twister,STD,Caliber,STD,STD,10
218,Super Splendor New,STD,1,13,30,92.5,Twister,1,Caliber,STD,1,10
219,Super Splendor New,STD,2,13,30,92.5,Twister,2,Caliber,STD,2,10
220,Super Splendor New,STD,3,13,30,92.5,Twister,3,Caliber,STD,3,10
221,Super Splendor New,STD,4,13,30,92.5,Twister,4,Caliber,STD,4,10
222,Super Splendor New,STD,5,13,30,92.5,Twister,5,Caliber,STD,5,10
223,Super Splendor New,STD,6,13,30,92.5,Twister,6,Caliber,STD,6,10
224,Super Splendor New,STD,7,13,30,92.5,Twister,7,Caliber,STD,7,10
225,Victor GL,Local,STD,13,30,92.5,Victor,STD,Caliber,Local,STD,10
226,Victor GL,Local,1,13,30,92.5,Victor,1,Caliber,Local,1,10
227,Victor GL,Local,2,13,30,92.5,Victor,2,Caliber,Local,2,10
228,Victor GL,Local,3,13,30,92.5,Victor,3,Caliber,Local,3,10
229,Victor GL,Local,4,13,30,92.5,Victor,4,Caliber,Local,4,10
230,Victor GL,Local,5,13,30,92.5,Victor,5,Caliber,Local,5,10
231,Victor GL,Local,6,13,30,92.5,Victor,6,Caliber,Local,6,10
232,Victor GL,Local,7,13,30,92.5,Victor,7,Caliber,Local,7,10
233,Victor GL,STD,STD,13,30,92.5,Victor,STD,Caliber,STD,STD,10
234,Victor GL,STD,1,13,30,92.5,Victor,1,Caliber,STD,1,10
235,Victor GL,STD,2,13,30,92.5,Victor,2,Caliber,STD,2,10
236,Victor GL,STD,3,13,30,92.5,Victor,3,Caliber,STD,3,10
237,Victor GL,STD,4,13,30,92.5,Victor,4,Caliber,STD,4,10
238,Victor GL,STD,5,13,30,92.5,Victor,5,Caliber,STD,5,10
239,Victor GL,STD,6,13,30,92.5,Victor,6,Caliber,STD,6,10
240,Victor GL,STD,7,13,30,92.5,Victor,7,Caliber,STD,7,10
241,Star Sport,Local,STD,13,30,92.5,Victor,STD,Caliber,Local,STD,10
242,Star Sport,Local,1,13,30,92.5,Victor,1,Caliber,Local,1,10
243,Star Sport,Local,2,13,30,92.5,Victor,2,Caliber,Local,2,10
