Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
147,Hayeat,Local,2,,,,Star City,2,Hero Honda,Local,2,
148,Hayeat,Local,3,,,,Star City,3,Hero Honda,Local,3,
149,Hayeat,Local,4,,,,Star City,4,Hero Honda,Local,4,
150,Hayeat,Local,5,,,,Star City,5,Hero Honda,Local,5,
151,Hayeat,Local,6,,,,Star City,6,Hero Honda,Local,6,
152,Hayeat,Local,7,,,,Star City,7,Hero Honda,Local,7,
153,Hayeat,NRB,STD,,,,Star City,STD,Hero Honda,NRB,STD,
154,Hayeat,NRB,1,,,,Star City,1,Hero Honda,NRB,1,
155,Hayeat,NRB,2,,,,Star City,2,Hero Honda,NRB,2,
156,Hayeat,NRB,3,,,,Star City,3,Hero Honda,NRB,3,
157,Hayeat,NRB,4,,,,Star City,4,Hero Honda,NRB,4,
158,Hayeat,NRB,5,,,,Star City,5,Hero Honda,NRB,5,
159,Hayeat,NRB,6,,,,Star City,6,Hero Honda,NRB,6,
160,Hayeat,NRB,7,,,,Star City,7,Hero Honda,NRB,7,
161,Caliber,Local,STD,,,,Caliber,STD,Caliber,Local,STD,
162,Caliber,Local,1,,,,Caliber,1,Caliber,Local,1,
163,Caliber,Local,2,,,,Caliber,2,Caliber,Local,2,
164,Caliber,Local,3,,,,Caliber,3,Caliber,Local,3,
165,Caliber,Local,4,,,,Caliber,4,Caliber,Local,4,
166,Caliber,Local,5,,,,Caliber,5,Caliber,Local,5,
167,Caliber,Local,6,,,,Caliber,6,Caliber,Local,6,
168,Caliber,Local,7,,,,Caliber,7,Caliber,Local,7,
169,Caliber,NRB,STD,,,,Caliber,STD,Caliber,NRB,STD,
170,Caliber,NRB,1,,,,Caliber,1,Caliber,NRB,1,
171,Caliber,NRB,2,,,,Caliber,2,Caliber,NRB,2,
172,Caliber,NRB,3,,,,Caliber,3,Caliber,NRB,3,
173,Caliber,NRB,4,,,,Caliber,4,Caliber,NRB,4,
174,Caliber,NRB,5,,,,Caliber,5,Caliber,NRB,5,
175,Caliber,NRB,6,,,,Caliber,6,Caliber,NRB,6,
